Year,Month,Day,Time of Tweet,text,sentiment,Platform
2023,1,15,noon, Enjoying a beautiful day at the park!              , positive  , Twitter  
2023,1,15,morning, Traffic was terrible this morning.                 , negative  , Twitter  
2023,1,15,noon, Just finished an amazing workout! 💪               , positive  , Instagram 
2023,1,15,night, Excited about the upcoming weekend getaway!        , positive  , Facebook 
2023,1,15,night, Trying out a new recipe for dinner tonight.        , neutral   , Instagram 
2023,1,16,morning, Feeling grateful for the little things in life.    , positive  , Twitter  
2023,1,16,noon, Rainy days call for cozy blankets and hot cocoa.   , positive  , Facebook 
2023,1,16,night, The new movie release is a must-watch!             , positive  , Instagram 
2023,1,17,morning, Political discussions heating up on the timeline.  , negative  , Twitter  
2023,1,17,noon, Missing summer vibes and beach days.               , neutral   , Facebook 
2023,1,17,noon, Just published a new blog post. Check it out!      , positive  , Instagram 
2023,1,18,morning, Feeling a bit under the weather today.             , negative  , Twitter  
2023,1,18,noon, Exploring the city's hidden gems.                  , positive  , Facebook 
2023,1,19,morning, Technology is changing the way we live.            , neutral   , Twitter  
2023,1,19,noon, Reflecting on the past and looking ahead.          , positive  , Facebook 
2023,1,19,noon, Just adopted a cute furry friend! 🐾              , positive  , Instagram 
2023,1,20,night, Late-night gaming session with friends.            , positive  , Twitter  
2023,1,20,noon, Attending a virtual conference on AI.              , neutral   , Facebook 
2023,1,20,noon, Winter blues got me feeling low.                   , negative  , Instagram 
2023,1,21,morning, Sipping coffee and enjoying a good book.           , positive  , Twitter  
2023,1,21,noon, Exploring the world of virtual reality.            , positive  , Facebook 
2023,1,21,noon, Productive day ticking off my to-do list.          , positive  , Instagram 
2023,1,22,morning, Just finished a challenging workout routine.       , positive  , Twitter  
2023,1,22,noon, Celebrating a milestone at work! 🎉               , positive  , Facebook 
2023,1,22,noon, Sunday brunch with friends.                        , positive  , Instagram 
2023,1,23,noon, Learning a new language for personal growth.       , positive  , Facebook 
2023,1,23,night, Quiet evening with a good book.                    , positive  , Instagram 
2023,1,24,noon, Reflecting on the importance of mental health.     , positive  , Twitter  
2023,1,24,noon, New painting in progress! 🎨                       , positive  , Facebook 
2023,1,24,noon, Weekend road trip to explore scenic views.         , positive  , Instagram 
2023,1,25,night, Enjoying a cup of tea and watching the sunset.     , positive  , Twitter  
2023,1,25,noon, Coding a new project with enthusiasm.              , positive  , Facebook 
2023,1,26,morning, Feeling inspired after attending a workshop.       , positive  , Instagram 
2023,1,26,noon, Winter sports day at the local park.               , positive  , Twitter  
2023,1,26,noon, Quality time with family this weekend.             , positive  , Facebook 
2023,1,27,night, Attending a live music concert tonight.            , positive  , Instagram 
2023,1,27,noon, Practicing mindfulness with meditation.            , positive  , Twitter  
2023,1,27,noon, Trying out a new dessert recipe.                   , positive  , Facebook 
2023,1,28,morning, Excited about the upcoming gaming tournament.      , positive  , Instagram 
2023,1,28,noon, Planning a garden makeover for spring.             , positive  , Twitter  
2023,1,28,night, Celebrating a friend's birthday tonight! 🎂       , positive  , Facebook 
2023,1,29,noon, Feeling accomplished after a productive day.       , positive  , Instagram 
2023,1,29,night, A cozy evening with a good movie.                 , positive  , Twitter  
2023,1,30,noon, Exploring local art galleries this weekend.        , positive  , Facebook 
2023,1,30,noon, New book release from my favorite author!          , positive  , Instagram 
